id,iso3_code,country,sdg_region_id,geography_id
876,WLF,Wallis and Futuna Islands,1835,909
112,BLR,Belarus,1829,908
100,BGR,Bulgaria,1829,908
203,CZE,Czechia,1829,908
348,HUN,Hungary,1829,908
616,POL,Poland,1829,908
498,MDA,Republic of Moldova,1829,908
642,ROU,Romania,1829,908
643,RUS,Russian Federation,1829,908
703,SVK,Slovakia,1829,908
804,UKR,Ukraine,1829,908
830,CHI,Channel Islands,1829,908
208,DNK,Denmark,1829,908
233,EST,Estonia,1829,908
234,FRO,Faroe Islands,1829,908
246,FIN,Finland,1829,908
352,ISL,Iceland,1829,908
372,IRL,Ireland,1829,908
833,IMN,Isle of Man,1829,908
428,LVA,Latvia,1829,908
440,LTU,Lithuania,1829,908
578,NOR,Norway,1829,908
752,SWE,Sweden,1829,908
826,GBR,United Kingdom,1829,908
8,ALB,Albania,1829,908
20,AND,Andorra,1829,908
70,BIH,Bosnia and Herzegovina,1829,908
191,HRV,Croatia,1829,908
292,GIB,Gibraltar,1829,908
300,GRC,Greece,1829,908
336,VAT,Holy See,1829,908
380,ITA,Italy,1829,908
470,MLT,Malta,1829,908
499,MNE,Montenegro,1829,908
807,MKD,North Macedonia,1829,908
620,PRT,Portugal,1829,908
674,SMR,San Marino,1829,908
688,SRB,Serbia,1829,908
705,SVN,Slovenia,1829,908
724,ESP,Spain,1829,908
40,AUT,Austria,1829,908
56,BEL,Belgium,1829,908
250,FRA,France,1829,908
276,DEU,Germany,1829,908
438,LIE,Liechtenstein,1829,908
442,LUX,Luxembourg,1829,908
492,MCO,Monaco,1829,908
528,NLD,Netherlands,1829,908
756,CHE,Switzerland,1829,908
60,BMU,Bermuda,1829,905
124,CAN,Canada,1829,905
304,GRL,Greenland,1829,905
666,SPM,Saint Pierre and Miquelon,1829,905
840,USA,United States of America,1829,905
