id,name
947,Sub-Saharan Africa
1833,Northern Africa And Western Asia
921,Central And Southern Asia
1832,Eastern And South-Eastern Asia
1830,Latin America And The Caribbean
927,Australia/New Zealand
1835,Oceania (Excluding Australia And New Zealand)
1829,Europe And Northern America
